assertj-core                             [3.22.0]
org.eclipse.equinox.launcher.cocoa.macosx.aarch64 [1.2.500.v20220509-0833]
org.eclipse.equinox.launcher.cocoa.macosx.x86_64 [1.2.500.v20220509-0833]
org.eclipse.equinox.launcher.gtk.linux.aarch64 [1.2.500.v20220509-0833]
org.eclipse.equinox.launcher.gtk.linux.ppc64le [1.2.500.v20220509-0833]
org.eclipse.equinox.launcher.gtk.linux.x86_64 [1.2.500.v20220509-0833]
org.eclipse.equinox.launcher.source      [1.6.400.v20210924-0641]
org.eclipse.equinox.launcher.win32.win32.x86_64 [1.2.500.v20220509-0833]
org.eclipse.equinox.log.stream           [1.1.0.v20220429-1604]
org.eclipse.equinox.log.stream.source    [1.1.0.v20220429-1604]
org.eclipse.equinox.metatype             [1.6.100.v20211021-1418]
org.eclipse.equinox.metatype.source      [1.6.100.v20211021-1418]
org.eclipse.equinox.p2.artifact.repository [1.4.500.v20220420-1427]
org.eclipse.equinox.p2.artifact.repository.source [1.4.500.v20220420-1427]
org.eclipse.equinox.p2.console           [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.console.source    [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.core              [2.9.100.v20220310-1733]
org.eclipse.equinox.p2.core.source       [2.9.100.v20220310-1733]
org.eclipse.equinox.p2.director          [2.5.300.v20220421-0708]
org.eclipse.equinox.p2.director.app      [1.2.100.v20211220-1825]
org.eclipse.equinox.p2.director.app.source [1.2.100.v20211220-1825]
org.eclipse.equinox.p2.director.source   [2.5.300.v20220421-0708]
org.eclipse.equinox.p2.directorywatcher  [1.3.0.v20210316-1209]
org.eclipse.equinox.p2.directorywatcher.source [1.3.0.v20210316-1209]
org.eclipse.equinox.p2.discovery         [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.discovery.compatibility [1.2.200.v20220210-1157]
org.eclipse.equinox.p2.discovery.compatibility.source [1.2.200.v20220210-1157]
org.eclipse.equinox.p2.discovery.source  [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.engine            [2.7.400.v20220329-1456]
org.eclipse.equinox.p2.engine.source     [2.7.400.v20220329-1456]
org.eclipse.equinox.p2.extensionlocation [1.4.100.v20220213-0541]
org.eclipse.equinox.p2.extensionlocation.source [1.4.100.v20220213-0541]
org.eclipse.equinox.p2.garbagecollector  [1.2.0.v20210316-1209]
org.eclipse.equinox.p2.garbagecollector.source [1.2.0.v20210316-1209]
org.eclipse.equinox.p2.installer         [1.3.300.v20220210-1319]
org.eclipse.equinox.p2.installer.source  [1.3.300.v20220210-1319]
org.eclipse.equinox.p2.jarprocessor      [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.jarprocessor.source [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.metadata          [2.6.200.v20220324-1313]
org.eclipse.equinox.p2.metadata.repository [1.4.100.v20220329-1456]
org.eclipse.equinox.p2.metadata.repository.source [1.4.100.v20220329-1456]
org.eclipse.equinox.p2.metadata.source   [2.6.200.v20220324-1313]
org.eclipse.equinox.p2.operations        [2.6.0.v20210315-2228]
org.eclipse.equinox.p2.operations.source [2.6.0.v20210315-2228]
org.eclipse.equinox.p2.publisher         [1.7.100.v20220420-1427]
org.eclipse.equinox.p2.publisher.eclipse [1.4.100.v20220420-1427]
org.eclipse.equinox.p2.publisher.eclipse.source [1.4.100.v20220420-1427]
org.eclipse.equinox.p2.publisher.source  [1.7.100.v20220420-1427]
org.eclipse.equinox.p2.reconciler.dropins [1.4.100.v20211217-1131]
org.eclipse.equinox.p2.reconciler.dropins.source [1.4.100.v20211217-1131]
org.eclipse.equinox.p2.repository        [2.6.100.v20220422-1806]
org.eclipse.equinox.p2.repository.source [2.6.100.v20220422-1806]
org.eclipse.equinox.p2.repository.tools  [2.3.100.v20220504-1755]
org.eclipse.equinox.p2.repository.tools.source [2.3.100.v20220504-1755]
org.eclipse.equinox.p2.tests             [1.8.700.v20220513-2030]
org.eclipse.equinox.p2.tests.discovery   [1.3.200.v20220210-1319]
org.eclipse.equinox.p2.tests.ui          [1.3.400.v20220210-1319]
org.eclipse.equinox.p2.tests.verifier    [1.3.100.v20211013-0628]
org.eclipse.equinox.p2.touchpoint.eclipse [2.3.200.v20220503-2330]
org.eclipse.equinox.p2.touchpoint.eclipse.source [2.3.200.v20220503-2330]
org.eclipse.equinox.p2.touchpoint.natives [1.4.400.v20220506-1821]
org.eclipse.equinox.p2.touchpoint.natives.source [1.4.400.v20220506-1821]
org.eclipse.equinox.p2.transport.ecf     [1.3.300.v20220512-1321]
org.eclipse.equinox.p2.transport.ecf.source [1.3.300.v20220512-1321]
org.eclipse.equinox.p2.ui                [2.7.500.v20220423-1604]
org.eclipse.equinox.p2.ui.admin          [1.2.0.v20210114-1210]
org.eclipse.equinox.p2.ui.admin.rcp      [1.3.200.v20211217-1131]
org.eclipse.equinox.p2.ui.admin.rcp.source [1.3.200.v20211217-1131]
org.eclipse.equinox.p2.ui.admin.source   [1.2.0.v20210114-1210]
org.eclipse.equinox.p2.ui.discovery      [1.2.300.v20210813-0655]
org.eclipse.equinox.p2.ui.discovery.source [1.2.300.v20210813-0655]
org.eclipse.equinox.p2.ui.importexport   [1.3.300.v20220329-1456]
org.eclipse.equinox.p2.ui.importexport.source [1.3.300.v20220329-1456]
org.eclipse.equinox.p2.ui.sdk            [1.2.4.v20220213-1624]
org.eclipse.equinox.p2.ui.sdk.scheduler  [1.5.300.v20211214-1242]
org.eclipse.equinox.p2.ui.sdk.scheduler.source [1.5.300.v20211214-1242]
org.eclipse.equinox.p2.ui.sdk.source     [1.2.4.v20220213-1624]
org.eclipse.equinox.p2.ui.source         [2.7.500.v20220423-1604]
org.eclipse.equinox.p2.updatechecker     [1.3.0.v20210315-2228]
org.eclipse.equinox.p2.updatechecker.source [1.3.0.v20210315-2228]
org.eclipse.equinox.p2.updatesite        [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.updatesite.source [1.2.300.v20220420-1427]
org.eclipse.equinox.preferences          [3.10.0.v20220503-1634]
org.eclipse.equinox.preferences.source   [3.10.0.v20220503-1634]
